Event Type,sender,owner,tickLower,tickUpper,amount,amount0,amount1,from,to,value,sqrtPriceX96,liquidity,tick,recipient
Transfer,,,,,,,,0x4bc0AE6806257DE91D811B718D0671F003B52285,0x75d7c9d0D1eC1893f0EDd0D0f7c62E9c646Ee503,58295145595731095,,,,
Swap,0x75d7c9d0D1eC1893f0EDd0D0f7c62E9c646Ee503,,,,,-58295145595731095,141347851500201836544,,,,3897646167652304312167361944835,2521453254908269010000,77919,0x75d7c9d0D1eC1893f0EDd0D0f7c62E9c646Ee503
Transfer,,,,,,,,0x4bc0AE6806257DE91D811B718D0671F003B52285,0xa661c0cD0827579B71d39B5F7b7B9f73921af6C1,1762272148604036363461,,,,
Swap,0xa661c0cD0827579B71d39B5F7b7B9f73921af6C1,,,,,740877472567728640,-1762272148604036363461,,,,3842272710336696909372618033427,2521453254908269010000,77633,0xa661c0cD0827579B71d39B5F7b7B9f73921af6C1
Transfer,,,,,,,,0x4bc0AE6806257DE91D811B718D0671F003B52285,0xa661c0cD0827579B71d39B5F7b7B9f73921af6C1,58201919730068452,,,,
Swap,0xa661c0cD0827579B71d39B5F7b7B9f73921af6C1,,,,,-58201919730068452,137444943656111210496,,,,3846427912028161191392287616666,2612831483981734510000,77655,0xa661c0cD0827579B71d39B5F7b7B9f73921af6C1
Transfer,,,,,,,,0x4bc0AE6806257DE91D811B718D0671F003B52285,0xa661c0cD0827579B71d39B5F7b7B9f73921af6C1,1540105861848613775614,,,,
Swap,0xa661c0cD0827579B71d39B5F7b7B9f73921af6C1,,,,,662762140566726784,-1540105861848613775614,,,,3803639016249168446460375536108,2851668763362172240000,77431,0xa661c0cD0827579B71d39B5F7b7B9f73921af6C1
Transfer,,,,,,,,0x4bc0AE6806257DE91D811B718D0671F003B52285,0xa661c0cD0827579B71d39B5F7b7B9f73921af6C1,1055077428587682833976,,,,
Swap,0xa661c0cD0827579B71d39B5F7b7B9f73921af6C1,,,,,462509939544643392,-1055077428587682833976,,,,3775965150904367241291267639373,3020606082156158680000,77285,0xa661c0cD0827579B71d39B5F7b7B9f73921af6C1
Burn,,0x83238490e16723444Fd21A304893186363E48d28,72960,78900,91378229073465500000,148690169334026620,846947306349554767185,,,,,,,
Collect,,0x83238490e16723444Fd21A304893186363E48d28,72960,78900,,0,0,,,,,,,0x83238490e16723444Fd21A304893186363E48d28
Transfer,,,,,,,,0x4bc0AE6806257DE91D811B718D0671F003B52285,0xa661c0cD0827579B71d39B5F7b7B9f73921af6C1,151149354928819248,,,,
Swap,0xa661c0cD0827579B71d39B5F7b7B9f73921af6C1,,,,,-151149354928819248,345205159787566792704,,,,3785274061633252390618983962269,2929227853082693180000,77334,0xa661c0cD0827579B71d39B5F7b7B9f73921af6C1
Burn,,0x83238490e16723444Fd21A304893186363E48d28,74580,80700,238837279380437730000,774162256739493335,1468177595008924541174,,,,,,,
Collect,,0x83238490e16723444Fd21A304893186363E48d28,74580,80700,,0,0,,,,,,,0x83238490e16723444Fd21A304893186363E48d28
Transfer,,,,,,,,0x4bc0AE6806257DE91D811B718D0671F003B52285,0xa661c0cD0827579B71d39B5F7b7B9f73921af6C1,133191203038966606744,,,,
Swap,0xa661c0cD0827579B71d39B5F7b7B9f73921af6C1,,,,,58586174572332152,-133191203038966606744,,,,3781351770801954873162544427272,2690390573702255450000,77313,0xa661c0cD0827579B71d39B5F7b7B9f73921af6C1
Burn,,0x83238490e16723444Fd21A304893186363E48d28,72900,80640,168937318793986440000,542279581718472716,1596723295760546690448,,,,,,,
Transfer,,,,,,,,0x4bc0AE6806257DE91D811B718D0671F003B52285,0x83238490e16723444Fd21A304893186363E48d28,542368220262439169,,,,
